zip;state;city;lat;lng
35004;AL;Acmar;33.584.132;-8.651.557
35005;AL;Adamsville;33.588.437;-86.959.727
35006;AL;Adger;33.434.277;-87.167.455
35007;AL;Keystone;33.236.868;-86.812.861
35010;AL;New Site;32.941.445;-85.951.086
35014;AL;Alpine;33.331.165;-86.208.934
35016;AL;Arab;34.328.339;-86.489.638
35019;AL;Baileyton;34.268.298;-86.621.299
35020;AL;Bessemer;33.409.002;-86.947.547
35023;AL;Hueytown;33.414.625;-86.999.607
35031;AL;Blountsville;34.092.937;-86.568.628
35033;AL;Bremen;33.973.664;-87.004.281
35034;AL;Brent;3.293.567;-87.211.387
35035;AL;Brierfield;33.042.747;-86.951.672
35040;AL;Calera;331.098;-86.755.987
35042;AL;Centreville;32.950.324;-8.711.924
35043;AL;Chelsea;33.371.582;-86.614.132
35044;AL;Coosa Pines;33.266.928;-86.337.622
35045;AL;Clanton;32.835.532;-86.642.472
35049;AL;Cleveland;33.992.106;-86.559.355
35051;AL;Columbiana;33.176.964;-86.616.145
35053;AL;Crane Hill;34.082.117;-87.048.395
35054;AL;Cropwell;33.506.448;-86.280.026
35055;AL;Cullman;34.176.146;-86.829.777
35061;AL;Dolomite;33.465.424;-86.956.435
35062;AL;Dora;33.734.947;-87.040.148
35063;AL;Empire;33.825.589;-87.016.139
35064;AL;Fairfield;33.473.494;-86.918.262
35068;AL;Coalburg;33.611.283;-86.813.614
35071;AL;Gardendale;3.371.891;-86.822.481
35072;AL;Goodwater;33.074.642;-86.078.149
35073;AL;Alden;3.363.356;-86.948.221
35077;AL;Hanceville;34.051.569;-86.784.844
35078;AL;Harpersville;3.336.746;-86.429.441
35079;AL;Hayden;33.885.806;-8.681.767
35080;AL;Helena;33.316.978;-86.813.786
35083;AL;Holly Pond;34.190.085;-86.617.441
35085;AL;Jemison;32.980.539;-86.718.052
35087;AL;Joppa;34.283.739;-86.551.939
35089;AL;Kellyton;32.979.068;-86.048.397
35091;AL;Kimberly;33.768.355;-86.808.417
35094;AL;Leeds;33.528.333;-86.574.824
35096;AL;Lincoln;33.605.913;-86.111.152
35098;AL;Logan;34.184.079;-87.038.115
35111;AL;Mc Calla;33.284.546;-87.102.379
35114;AL;Maylene;33.231.694;-86.872.745
35115;AL;Montevallo;33.124.765;-86.862.228
35116;AL;Morris;33.739.172;-86.772.551
35117;AL;Mount Olive;3.367.678;-8.687.171
35118;AL;Sylvan Springs;33.540.696;-87.043.998
35120;AL;Odenville;33.675.611;-86.408.952
35121;AL;Oneonta;33.925.858;-86.474.118
35124;AL;Indian Springs;3.331.046;-86.806.176
35125;AL;Pell City;33.597.889;-86.343.151
35126;AL;Dixiana;33.708.131;-86.656.542
35127;AL;Pleasant Grove;33.488.336;-86.976.586
35130;AL;Quinton;33.656.065;-8.710.066
35131;AL;Ragland;33.736.677;-861.619
35133;AL;Remlap;33.846.204;-86.641.662
35135;AL;Riverside;33.608.832;-86.198.341
35136;AL;Rockford;32.877.957;-86.240.006
35143;AL;Shelby;33.078.483;-86.553.606
35146;AL;Springville;33.738.647;-86.439.407
35147;AL;Sterrett;33.446.103;-86.491.732
35148;AL;Sumiton;33.768.005;-87.044.545
35150;AL;Sylacauga;33.171.675;-86.271.257
35160;AL;Talladega;33.435.445;-86.113.352
35171;AL;Thorsby;32.923.755;-86.746.724
35172;AL;Trafford;33.819.038;-86.743.414
35173;AL;Trussville;33.633.932;-86.598.068
35175;AL;Union Grove;34.409.345;-86.462.793
35176;AL;Vandiver;33.480.704;-86.501.278
35178;AL;Vincent;33.401.049;-86.399.425
35179;AL;Vinemont;34.262.121;-86.912.512
35180;AL;Warrior;33.852.862;-86.819.849
35183;AL;Weogufka;3.302.381;-86.304.203
35184;AL;West Blocton;33.142.431;-8.713.694
35186;AL;Wilsonville;33.229.255;-86.529.894
35188;AL;Woodstock;33.169.808;-87.163.469
35203;AL;Birmingham;33.520.994;-86.806.626
35204;AL;Birmingham;3.351.795;-86.837.198
35205;AL;Birmingham;33.495.144;-86.805.937
35206;AL;Birmingham;33.567.797;-86.719.854
35207;AL;Birmingham;33.559.383;-86.815.344
35208;AL;Birmingham;33.497.658;-86.879.884
35209;AL;Homewood;33.469.624;-86.806.738
35210;AL;Irondale;33.532.797;-86.685.697
35211;AL;Birmingham;33.481.565;-8.685.904
35212;AL;Birmingham;33.540.883;-86.749.524
35213;AL;Crestline Height;33.508.195;-86.742.108
35214;AL;Birmingham;33.555.445;-86.886.989
35215;AL;Center Point;33.635.447;-86.693.197
35216;AL;Vestavia Hills;3.341.531;-86.790.425
35217;AL;Birmingham;335.887;-86.764.995
35218;AL;Birmingham;33.505.972;-86.892.993
35221;AL;Birmingham;33.452.316;-86.893.493
35222;AL;Birmingham;33.521.859;-86.766.579
35223;AL;Mountain Brook;33.488.726;-86.736.584
35224;AL;Birmingham;33.519.126;-86.934.193
35226;AL;Bluff Park;33.403.675;-86.831.257
35228;AL;Midfield;33.462.446;-86.914.703
35233;AL;Birmingham;33.506.161;-86.800.257
35234;AL;Birmingham;3.353.775;-8.680.685
35235;AL;Center Point;33.618.045;-86.661.051
35242;AL;Shoal Creek;33.401.559;-86.705.511
35243;AL;Cahaba Heights;33.446.053;-86.743.676
35244;AL;Hoover;33.371.776;-86.776.381
35401;AL;Tuscaloosa;33.196.891;-87.562.666
35404;AL;Holt;33.210.914;-87.488.079
35405;AL;Tuscaloosa;33.161.704;-87.514.435
35406;AL;Tuscaloosa;33.272.174;-87.536.035
35441;AL;Stewart;32.872.354;-87.708.558
35442;AL;Aliceville;33.122.813;-88.166.689
35443;AL;Boligee;32.774.646;-88.026.652
35444;AL;Brookwood;33.277.523;-87.309.025
35446;AL;Buhl;33.249.448;-87.718.886
35447;AL;Carrollton;33.248.506;-88.132.122
35452;AL;Coker;33.252.612;-87.636.528
35453;AL;Cottondale;33.176.667;-87.387.051
35456;AL;Duncanville;33.082.815;-87.494.977
35457;AL;Echola;33.316.559;-87.807.202
35458;AL;Elrod;33.343.678;-87.801.429
35459;AL;Emelle;32.754.963;-88.305.747
35460;AL;Epes;32.763.371;-88.161.443
35461;AL;Ethelsville;33.386.816;-88.221.987
35462;AL;Eutaw;32.888.871;-87.930.297
35463;AL;Fosters;33.135.859;-87.735.688
35464;AL;Gainesville;32.908.364;-88.271.558
35466;AL;Gordo;33.346.917;-87.900.504
35469;AL;Knoxville;32.982.423;-87.791.855
35470;AL;Coatopa;32.588.509;-88.173.592
35474;AL;Cypress;32.978.853;-87.615.134
35476;AL;Northport;33.283.425;-87.591.441
35480;AL;Ralph;33.062.868;-87.744.984
35481;AL;Reform;33.395.945;-88.020.277
35490;AL;Vance;3.317.498;-87.257.362
35501;AL;Jasper;33.871.672;-87.249.144
